property_id,address,city,state,zip_code,property_type,bedrooms,bathrooms,square_feet,lot_size,year_built,listing_price,sale_price,days_on_market,listing_date,sale_date,agent_id,agent_name,commission_rate,hoa_fee,parking_spaces,has_pool,has_garage,school_rating,crime_rate,walkability_score,property_tax,last_renovation_year,heating_type,cooling_type,flooring_type,view_type,neighborhood
P001,123 Oak Street,San Francisco,CA,94102,Single Family,3,2,1850,4500,1985,1250000,1200000,45,2024-01-15,2024-03-01,A101,Sarah Johnson,0.025,0,2,No,Yes,9,2.1,85,15000,2018,Central,Central AC,Hardwood,City,Downtown
P002,456 Maple Ave,San Francisco,CA,94103,Condo,2,2,1200,0,2010,875000,850000,30,2024-02-01,2024-03-03,A102,Michael Chen,0.03,350,1,No,Yes,8,2.5,90,10500,2020,Forced Air,Central AC,Laminate,Bay,Mission Bay
P003,789 Pine Road,Oakland,CA,94601,Townhouse,3,2.5,1650,2000,2015,725000,710000,22,2024-01-20,2024-02-11,A103,Emily Rodriguez,0.025,275,2,No,Yes,7,3.2,75,8700,2021,Radiant,Window AC,Carpet,Garden,Rockridge
P004,321 Elm Drive,Berkeley,CA,94704,Single Family,4,3,2400,6000,1978,1450000,1425000,60,2023-12-10,2024-02-08,A101,Sarah Johnson,0.025,0,3,Yes,Yes,10,1.8,88,17400,2019,Central,Central AC,Hardwood,Mountain,Berkeley Hills
P005,654 Birch Lane,San Jose,CA,95110,Condo,1,1,750,0,2018,550000,545000,18,2024-02-15,2024-03-05,A104,David Kim,0.03,425,1,No,No,6,3.5,70,6600,2022,Baseboard,None,Tile,Street,Downtown SJ
P006,987 Cedar Court,Palo Alto,CA,94301,Single Family,5,4,3200,8000,1995,2850000,2750000,75,2023-11-20,2024-02-03,A105,Lisa Wang,0.02,0,4,Yes,Yes,10,1.2,82,34200,2020,Central,Central AC,Hardwood,Garden,Old Palo Alto
P007,147 Willow Way,Mountain View,CA,94040,Townhouse,2,2,1400,1500,2012,950000,925000,35,2024-01-25,2024-03-01,A102,Michael Chen,0.025,300,2,No,Yes,8,2.0,78,11400,2023,Forced Air,Central AC,Laminate,Park,North Bayshore
P008,258 Spruce Street,Fremont,CA,94536,Single Family,4,2.5,2100,5500,1988,1125000,1100000,42,2024-01-05,2024-02-16,A106,Robert Martinez,0.025,0,2,No,Yes,7,2.8,68,13500,2017,Central,Central AC,Carpet,Street,Mission San Jose
P009,369 Ash Boulevard,Sunnyvale,CA,94086,Condo,2,2,1100,0,2016,825000,800000,28,2024-02-05,2024-03-05,A104,David Kim,0.03,380,1,Yes,Yes,8,2.3,75,9900,2021,Radiant,Central AC,Hardwood,Pool,West Sunnyvale
P010,741 Redwood Ave,San Mateo,CA,94401,Single Family,3,2,1750,4000,1982,1350000,1320000,50,2023-12-28,2024-02-16,A107,Amanda Lee,0.025,0,2,No,Yes,9,1.9,84,16200,2019,Central,Central AC,Hardwood,Bay,Baywood
P011,852 Cypress Drive,Hayward,CA,94541,Townhouse,3,2.5,1550,1800,2014,675000,660000,25,2024-02-10,2024-03-07,A103,Emily Rodriguez,0.025,250,2,No,Yes,6,3.8,65,8100,2022,Forced Air,Window AC,Laminate,Street,Southgate
P012,963 Sequoia Lane,Walnut Creek,CA,94596,Single Family,4,3.5,2800,7000,1990,1650000,1600000,55,2024-01-10,2024-03-06,A108,James Park,0.025,0,3,Yes,Yes,9,1.5,72,19800,2018,Central,Central AC,Hardwood,Mountain,Northgate
P013,159 Magnolia Court,Pleasanton,CA,94566,Single Family,3,2,1900,5000,1985,1175000,1150000,38,2024-01-18,2024-02-25,A106,Robert Martinez,0.025,0,2,No,Yes,9,1.6,70,14100,2020,Central,Central AC,Tile,Garden,Downtown Pleasanton
P014,357 Poplar Street,Dublin,CA,94568,Condo,2,2,1250,0,2017,775000,755000,32,2024-02-08,2024-03-12,A109,Jennifer Wu,0.03,325,1,No,Yes,8,2.1,73,9300,2023,Radiant,Central AC,Laminate,Park,Dublin Ranch
P015,486 Sycamore Road,Livermore,CA,94550,Single Family,4,2.5,2200,6500,1978,1050000,1025000,48,2024-01-12,2024-03-01,A110,Christopher Brown,0.025,0,3,Yes,Yes,7,2.4,62,12600,2016,Central,Central AC,Carpet,Valley,South Livermore
P016,753 Hickory Ave,San Ramon,CA,94583,Single Family,5,3.5,3100,7500,1998,1875000,1825000,62,2023-12-15,2024-02-15,A108,James Park,0.025,0,3,Yes,Yes,10,1.3,75,22500,2021,Central,Central AC,Hardwood,Mountain,Gale Ranch
P017,864 Beech Lane,Concord,CA,94520,Townhouse,2,2,1350,1600,2013,625000,615000,20,2024-02-18,2024-03-10,A111,Michelle Zhang,0.025,280,2,No,Yes,6,3.1,68,7500,2022,Forced Air,Central AC,Laminate,Street,Todos Santos
P018,975 Alder Drive,Antioch,CA,94509,Single Family,3,2,1650,4500,1980,575000,560000,35,2024-01-22,2024-02-26,A112,Daniel Garcia,0.025,0,2,No,Yes,5,4.2,58,6900,2015,Central,Window AC,Carpet,Street,Deer Valley
P019,135 Juniper Court,Brentwood,CA,94513,Single Family,4,3,2300,6000,2005,925000,900000,40,2024-01-28,2024-03-08,A110,Christopher Brown,0.025,0,3,Yes,Yes,7,2.6,60,11100,2019,Central,Central AC,Tile,Garden,Vineyards
P020,246 Fir Street,Richmond,CA,94801,Condo,1,1,800,0,2015,475000,465000,22,2024-02-12,2024-03-06,A113,Sophia Nguyen,0.03,295,1,No,No,5,4.5,72,5700,2021,Baseboard,None,Laminate,Bay,Marina Bay
P021,579 Chestnut Ave,Alameda,CA,94501,Single Family,3,2,1800,3500,1975,1225000,1195000,45,2024-01-08,2024-02-22,A107,Amanda Lee,0.025,0,2,No,Yes,8,2.0,86,14700,2018,Central,Central AC,Hardwood,Bay,West End
P022,680 Walnut Road,San Leandro,CA,94577,Townhouse,3,2.5,1600,2000,2011,715000,695000,30,2024-02-02,2024-03-04,A114,Kevin Patel,0.025,265,2,No,Yes,6,3.3,70,8580,2020,Forced Air,Central AC,Carpet,Park,Marina
