order_id,customer_id,product_name,category,quantity,unit_price,total_price,order_date,region,payment_method,status,remarks,,total_order,sum_total_price
1001,C001,Wireless Mouse,Electronics,2,25.99,51.98,1/5/2024,North,Credit Card,Completed,,,67,2869.27
1002,C002,USB-C Cable,Electronics,5,12.5,62.5,1/5/2024,South,PayPal,Completed,,,,
1003,C003,Office Chair,Furniture,1,299.99,299.99,1/6/2024,East,Credit Card,Completed,,,,
1004,C001,Keyboard,Electronics,1,75,75,1/7/2024,North,Credit Card,Completed,,,,
1005,C004,Desk Lamp,Furniture,3,45,135,1/8/2024,West,Debit Card,Pending,,,,
1006,C005,Monitor Stand,Furniture,1,89.99,89.99,1/8/2024,South,PayPal,Completed,,,,
1007,C002,Webcam,Electronics,1,65,65,1/9/2024,South,PayPal,Completed,,,,
1008,C006,Notebook Set,Office Supplies,10,8.99,89.9,1/10/2024,East,Credit Card,Completed,,,,
1009,C007,Printer Paper,Office Supplies,5,24.99,124.95,1/10/2024,North,Debit Card,Cancelled,,,,
1010,C003,Standing Desk,Furniture,1,450,450,1/11/2024,East,Credit Card,Completed,,,,
1011,C008,Headphones,Electronics,2,120,240,1/12/2024,West,PayPal,Completed,,,,
1012,C004,Stapler,Office Supplies,4,15.99,63.96,1/12/2024,West,Cash,Completed,,,,
1013,C009,External SSD,Electronics,1,180,180,1/13/2024,North,Credit Card,Pending,,,,
1014,C010,Ergonomic Mouse,Electronics,1,55,55,1/14/2024,South,Debit Card,Completed,,,,
1015,C001,Monitor,Electronics,1,350,350,1/15/2024,North,Credit Card,Completed,,,,
1016,C011,File Cabinet,Furniture,1,175,175,1/16/2024,East,PayPal,Completed,,,,
1017,C012,Pens (Box),Office Supplies,20,3.5,70,1/16/2024,West,Cash,Completed,,,,
1018,C005,Laptop Stand,Furniture,2,65,130,1/17/2024,South,PayPal,Completed,,,,
1019,C013,Wireless Charger,Electronics,3,35,105,1/18/2024,North,Credit Card,Completed,,,,
1020,C014,Desk Organizer,Office Supplies,2,28,56,1/19/2024,East,Debit Card,Completed,,,,
