property_id,address,city,state,zip_code,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,listing_price,sold_price,days_on_market,listing_date,sold_date,agent_id,agent_name,agent_experience_years,neighborhood,school_rating,crime_rate,walkability_score,has_pool,has_garage,hoa_fee
1,123 Oak Street,Los Angeles,CA,90001,Single Family,4,3,2500,0.25,1995,750000,735000,45,2024-01-15,2024-03-01,A001,Sarah Johnson,12,Westside,8,2.1,75,1,1,150
2,456 Maple Ave,Los Angeles,CA,90002,Condo,2,2,1200,0,2015,450000,455000,20,2024-02-01,2024-02-21,A002,Michael Chen,8,Downtown,7,3.5,92,0,1,350
3,789 Pine Road,San Diego,CA,92101,Single Family,3,2,1800,0.15,2000,620000,610000,60,2024-01-10,2024-03-11,A001,Sarah Johnson,12,Hillcrest,9,1.8,68,1,1,0
4,321 Elm Street,San Francisco,CA,94102,Condo,1,1,800,0,2018,580000,595000,15,2024-02-15,2024-03-02,A003,Emily Davis,5,SOMA,6,4.2,95,0,0,500
5,654 Cedar Lane,San Francisco,CA,94103,Townhouse,3,2.5,1600,0.1,2010,890000,875000,35,2024-01-20,2024-02-24,A003,Emily Davis,5,Mission,7,3.8,88,0,1,275
6,987 Birch Drive,Los Angeles,CA,90003,Single Family,5,4,3200,0.35,1988,950000,920000,75,2024-01-05,2024-03-21,A004,Robert Martinez,15,Beverly Hills,9,1.2,55,1,1,200
7,147 Walnut Way,San Diego,CA,92102,Condo,2,1,950,0,2020,380000,385000,12,2024-02-20,2024-03-04,A005,Lisa Wang,3,Gaslamp,8,2.8,90,0,0,400
8,258 Cherry Court,Phoenix,AZ,85001,Single Family,4,2,2100,0.2,2005,425000,430000,28,2024-02-01,2024-03-01,A006,James Wilson,10,Arcadia,7,2.5,62,1,1,0
9,369 Spruce Street,Phoenix,AZ,85002,Townhouse,3,2,1450,0.08,2012,320000,315000,42,2024-01-25,2024-03-08,A006,James Wilson,10,Downtown,6,3.9,85,0,1,180
10,741 Ash Avenue,Las Vegas,NV,89101,Single Family,3,2,1700,0.18,1998,350000,345000,55,2024-01-12,2024-03-08,A007,Amanda Brown,7,Summerlin,7,3.1,58,1,1,100
11,852 Hickory Lane,Las Vegas,NV,89102,Condo,2,2,1100,0,2016,275000,280000,18,2024-02-10,2024-02-28,A007,Amanda Brown,7,Strip,5,4.5,95,0,0,450
12,963 Poplar Place,Seattle,WA,98101,Condo,1,1,750,0,2019,425000,440000,22,2024-02-05,2024-02-27,A008,David Kim,6,Capitol Hill,8,2.3,92,0,0,380
13,174 Willow Way,Seattle,WA,98102,Townhouse,2,2,1300,0.05,2014,550000,545000,38,2024-01-28,2024-03-07,A008,David Kim,6,Fremont,8,1.9,78,0,1,225
14,285 Magnolia Drive,Portland,OR,97201,Single Family,4,3,2400,0.22,2002,675000,660000,48,2024-01-18,2024-03-07,A009,Jennifer Taylor,9,Pearl District,9,1.5,82,0,1,0
15,396 Sycamore Street,Portland,OR,97202,Condo,2,1,900,0,2017,395000,400000,25,2024-02-08,2024-03-05,A009,Jennifer Taylor,9,Alberta,7,2.7,75,0,0,320
16,507 Redwood Road,Denver,CO,80201,Single Family,3,2,1900,0.16,2008,520000,515000,32,2024-02-03,2024-03-07,A010,Chris Anderson,11,LoDo,8,2.0,70,0,1,0
17,618 Cypress Court,Denver,CO,80202,Townhouse,3,2.5,1550,0.07,2015,480000,490000,20,2024-02-12,2024-03-04,A010,Chris Anderson,11,RiNo,7,3.2,88,0,1,195
18,729 Palm Place,Miami,FL,33101,Condo,2,2,1050,0,2018,420000,435000,14,2024-02-18,2024-03-04,A011,Maria Garcia,4,Brickell,6,4.0,93,0,0,550
19,831 Bamboo Boulevard,Miami,FL,33102,Single Family,4,3,2300,0.2,2000,680000,665000,52,2024-01-22,2024-03-15,A011,Maria Garcia,4,Coral Gables,9,1.6,60,1,1,125
20,942 Olive Lane,Austin,TX,78701,Single Family,3,2,1750,0.14,2010,550000,560000,30,2024-02-01,2024-03-03,A012,Kevin Thompson,8,Downtown,8,2.4,80,0,1,0
21,153 Fig Street,Austin,TX,78702,Condo,1,1,700,0,2021,325000,330000,16,2024-02-15,2024-03-03,A012,Kevin Thompson,8,East Austin,7,3.3,85,0,0,375
22,264 Peach Path,Nashville,TN,37201,Townhouse,2,2,1200,0.06,2016,380000,375000,35,2024-01-30,2024-03-06,A013,Rachel Lee,6,The Gulch,8,2.2,78,0,1,250
23,375 Plum Lane,Nashville,TN,37202,Single Family,4,2.5,2200,0.19,2004,495000,500000,28,2024-02-05,2024-03-05,A013,Rachel Lee,6,East Nashville,7,2.9,65,0,1,0
24,486 Apricot Ave,Chicago,IL,60601,Condo,2,1,850,0,2017,380000,390000,19,2024-02-10,2024-03-01,A014,Thomas White,13,River North,7,3.7,94,0,0,475
25,597 Lemon Street,Chicago,IL,60602,Townhouse,3,2,1400,0,2011,520000,510000,45,2024-01-15,2024-03-01,A014,Thomas White,13,Lincoln Park,9,1.8,82,0,1,300
26,608 Orange Drive,Boston,MA,02101,Condo,1,1,650,0,2019,485000,500000,12,2024-02-20,2024-03-04,A015,Nancy Clark,7,Back Bay,8,2.1,96,0,0,525
27,719 Grape Grove,Boston,MA,02102,Single Family,3,2,1600,0.12,1985,725000,710000,58,2024-01-08,2024-03-07,A015,Nancy Clark,7,Beacon Hill,9,1.4,72,0,1,0
28,820 Berry Boulevard,Atlanta,GA,30301,Townhouse,2,2,1150,0.04,2018,340000,345000,24,2024-02-08,2024-03-04,A016,Daniel Harris,5,Midtown,7,3.0,80,0,1,210
29,931 Melon Way,Atlanta,GA,30302,Single Family,4,3,2600,0.28,1992,580000,565000,65,2024-01-12,2024-03-18,A016,Daniel Harris,5,Buckhead,8,1.7,55,1,1,175
30,142 Kiwi Court,Houston,TX,77001,Single Family,3,2,1850,0.17,2006,420000,425000,33,2024-02-01,2024-03-06,A017,Patricia Moore,9,Heights,7,2.6,68,0,1,0
