property_id,address,city,state,zip_code,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,listing_price,sale_price,days_on_market,listing_date,sale_date,agent_name,agent_commission_pct,has_pool,has_garage,garage_spaces,neighborhood,school_rating,crime_rate,walkability_score
RE001,123 Oak Street,Los Angeles,CA,90001,Single Family,4,3,2450,8500,1995,750000,725000,45,2025-06-15,2025-07-30,Sarah Johnson,2.5,Yes,Yes,2,Westwood,8,Low,72
RE002,456 Maple Avenue,San Francisco,CA,94102,Condo,2,2,1200,0,2018,650000,680000,12,2025-07-01,2025-07-13,Michael Chen,2.0,No,Yes,1,Marina District,9,Low,95
RE003,789 Pine Road,Seattle,WA,98101,Single Family,3,2,1850,6200,2005,525000,510000,62,2025-05-20,2025-07-21,Emily Davis,2.5,No,Yes,2,Capitol Hill,7,Medium,88
RE004,321 Elm Court,Austin,TX,78701,Townhouse,3,2.5,1650,3500,2012,425000,430000,28,2025-08-01,2025-08-29,James Wilson,2.0,No,Yes,1,Downtown,8,Low,91
RE005,654 Cedar Lane,Denver,CO,80202,Single Family,5,4,3200,12000,1988,890000,875000,55,2025-04-10,2025-06-04,Sarah Johnson,2.5,Yes,Yes,3,Cherry Creek,9,Low,65
RE006,987 Birch Boulevard,Phoenix,AZ,85001,Single Family,4,2,2100,7500,2000,385000,390000,18,2025-09-01,2025-09-19,Robert Martinez,2.0,Yes,Yes,2,Arcadia,7,Medium,58
RE007,147 Walnut Way,Portland,OR,97201,Condo,1,1,750,0,2020,320000,315000,35,2025-07-15,2025-08-19,Emily Davis,2.0,No,No,0,Pearl District,8,Low,97
RE008,258 Spruce Street,Miami,FL,33101,Condo,3,2,1450,0,2015,520000,545000,8,2025-08-20,2025-08-28,Lisa Thompson,2.5,Yes,Yes,1,Brickell,8,Medium,89
RE009,369 Hickory Drive,Nashville,TN,37201,Single Family,4,3,2800,9500,2010,675000,650000,72,2025-03-01,2025-05-12,James Wilson,2.5,No,Yes,2,Green Hills,9,Low,55
RE010,471 Chestnut Circle,Boston,MA,02101,Townhouse,2,1.5,1100,1800,1920,485000,510000,22,2025-06-01,2025-06-23,Michael Chen,2.0,No,No,0,Back Bay,9,Low,98
RE011,582 Redwood Place,San Diego,CA,92101,Single Family,3,2,1750,5500,2008,615000,600000,48,2025-05-15,2025-07-02,Sarah Johnson,2.5,Yes,Yes,2,La Jolla,8,Low,75
RE012,693 Willow Lane,Chicago,IL,60601,Condo,2,2,1350,0,2017,425000,420000,30,2025-07-20,2025-08-19,Robert Martinez,2.0,No,Yes,1,Lincoln Park,7,Medium,92
RE013,804 Aspen Avenue,Dallas,TX,75201,Single Family,5,3.5,3500,15000,1992,725000,700000,65,2025-04-01,2025-06-05,Lisa Thompson,2.5,Yes,Yes,3,Highland Park,9,Low,48
RE014,915 Magnolia Court,Atlanta,GA,30301,Townhouse,3,2.5,1800,2500,2014,390000,395000,25,2025-08-10,2025-09-04,Emily Davis,2.0,No,Yes,1,Midtown,8,Medium,85
RE015,126 Cypress Road,Las Vegas,NV,89101,Single Family,4,2,2000,6800,2002,345000,350000,15,2025-09-05,2025-09-20,James Wilson,2.0,Yes,Yes,2,Summerlin,6,Medium,52
RE016,237 Sycamore Street,New York,NY,10001,Condo,1,1,650,0,2019,895000,920000,5,2025-08-25,2025-08-30,Michael Chen,2.0,No,No,0,Chelsea,8,Medium,99
RE017,348 Poplar Place,Charlotte,NC,28201,Single Family,4,2.5,2350,8000,2016,475000,480000,20,2025-07-10,2025-07-30,Sarah Johnson,2.5,No,Yes,2,Myers Park,8,Low,68
RE018,459 Juniper Lane,Minneapolis,MN,55401,Townhouse,3,2,1550,2200,2011,365000,355000,42,2025-06-20,2025-08-01,Robert Martinez,2.0,No,Yes,1,Uptown,7,Low,88
